
Ramarren;cl-geometry;closed;David Chkhikvadze;Sun May 31 18:48:08 BRT 2015;Fri Jun 05 06:20:09 BRT 2015;4;
sudara;alonetone;closed;montgomeru;Mon Nov 04 20:50:16 BRST 2013;Mon Nov 04 21:21:20 BRST 2013;0;
sudara;alonetone;open;Sudara;Mon Nov 04 20:43:57 BRST 2013;null;675;
sudara;alonetone;closed;Sudara;Sun Nov 03 23:37:48 BRST 2013;Fri Nov 08 14:15:15 BRST 2013;4;
sudara;alonetone;open;Sudara;Wed Oct 19 22:43:10 BRST 2011;null;1422;
sudara;alonetone;closed;Sudara;Sat Oct 08 18:38:07 BRT 2011;Tue Nov 05 21:27:21 BRST 2013;759;
sudara;alonetone;closed;Sudara;Mon Sep 19 10:47:48 BRT 2011;Sat Oct 08 18:45:57 BRT 2011;19;
sudara;alonetone;open;Sudara;Mon Sep 19 10:46:50 BRT 2011;null;1452;
sudara;alonetone;closed;Sudara;Sun Sep 18 11:44:17 BRT 2011;Wed Nov 06 12:04:53 BRST 2013;780;
sudara;alonetone;closed;Sudara;Sat Sep 17 13:02:33 BRT 2011;Mon Sep 16 22:08:15 BRT 2013;730;
sudara;alonetone;closed;Sudara;Tue Sep 13 20:25:33 BRT 2011;Sat Sep 17 13:01:53 BRT 2011;3;
sudara;alonetone;closed;Sudara;Thu Aug 25 12:00:00 BRT 2011;Mon Dec 09 19:52:34 BRST 2013;837;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:58:10 BRT 2011;Thu Nov 07 22:46:00 BRST 2013;805;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:56:39 BRT 2011;Fri Nov 08 14:07:03 BRST 2013;806;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:53:32 BRT 2011;Thu Nov 07 23:04:46 BRST 2013;805;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:52:26 BRT 2011;Mon Sep 16 22:07:50 BRT 2013;753;
sudara;alonetone;open;Sudara;Thu Aug 25 11:52:09 BRT 2011;null;1477;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:46:28 BRT 2011;Sun Sep 29 17:58:19 BRT 2013;766;
sudara;alonetone;open;Sudara;Thu Aug 25 11:27:28 BRT 2011;null;1477;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:25:14 BRT 2011;Sun Sep 22 16:03:22 BRT 2013;759;
sudara;alonetone;closed;Sudara;Thu Aug 25 11:22:04 BRT 2011;Sat Oct 08 18:49:16 BRT 2011;44;
sudara;alonetone;closed;Kelly Fox;Thu Oct 28 02:47:21 BRST 2010;Thu Aug 25 11:21:14 BRT 2011;301;
sudara;alonetone;closed;Matt Mower;Sun Oct 24 21:43:43 BRST 2010;Thu Aug 25 11:21:26 BRT 2011;304;
sudara;alonetone;closed;Matt Mower;Sun Oct 24 09:54:22 BRST 2010;Sun Oct 24 21:38:15 BRST 2010;0;
sudara;alonetone;closed;Matt Mower;Sun Oct 24 09:33:19 BRST 2010;Sun Oct 24 21:38:30 BRST 2010;0;
sudara;alonetone;closed;Matt Mower;Sun Oct 24 08:16:52 BRST 2010;Sun Oct 24 21:39:57 BRST 2010;0;

matschaffer;mechaflickr;open;Deleted user;Tue Jan 21 16:58:44 BRST 2014;null;597;

mleung;feather;open;Deleted user;Tue Jan 21 16:58:50 BRST 2014;null;597;

JackDanger;alphadecimal;closed;Robin Komiwes;Mon Jan 31 07:50:43 BRST 2011;Tue Feb 01 06:39:38 BRST 2011;0;
JackDanger;alphadecimal;open;Curbed Network;Wed Aug 04 11:39:05 BRT 2010;null;1863;

topfunky;gruff;closed;Steven Noble;Thu Sep 10 10:30:46 BRT 2015;Thu Sep 10 19:19:43 BRT 2015;0;
topfunky;gruff;open;null;Wed Sep 09 12:10:27 BRT 2015;null;1;
topfunky;gruff;open;Rune Philosof;Mon Aug 24 03:21:34 BRT 2015;null;18;
topfunky;gruff;open;Joseph Haig;Fri Aug 21 08:09:47 BRT 2015;null;21;
topfunky;gruff;open;Rune Philosof;Fri Aug 21 06:20:40 BRT 2015;null;21;
topfunky;gruff;open;Joseph Haig;Tue Aug 18 08:11:37 BRT 2015;null;24;
topfunky;gruff;open;Joseph Haig;Mon Aug 17 12:22:40 BRT 2015;null;24;
topfunky;gruff;open;Jonathan;Tue Jun 16 15:02:24 BRT 2015;null;86;
topfunky;gruff;closed;Wayne Conrad;Wed May 27 15:15:11 BRT 2015;Sat May 30 17:52:10 BRT 2015;3;
topfunky;gruff;closed;Wayne Conrad;Wed May 27 15:11:45 BRT 2015;Sat May 30 17:55:43 BRT 2015;3;
topfunky;gruff;closed;Cristian Planas;Mon May 25 15:38:13 BRT 2015;Sat May 30 18:00:21 BRT 2015;5;
topfunky;gruff;closed;Alex Rozanski;Thu May 07 13:41:43 BRT 2015;Sat May 30 18:04:57 BRT 2015;23;
topfunky;gruff;closed;Ryan Plant;Sat Apr 25 06:59:37 BRT 2015;Sat May 30 18:05:51 BRT 2015;35;
topfunky;gruff;open;Esteban Santana Santana;Fri Apr 17 23:53:24 BRT 2015;null;146;
topfunky;gruff;closed;Dean Galvin;Thu Apr 16 16:04:31 BRT 2015;Sat May 30 20:18:53 BRT 2015;44;
topfunky;gruff;open;Viktoras Laukevi?ius;Sat Apr 04 08:54:52 BRT 2015;null;159;
topfunky;gruff;open;David Cortés;Wed Mar 25 08:17:46 BRT 2015;null;170;
topfunky;gruff;closed;Valerie Maher;Sun Mar 01 14:33:42 BRT 2015;Sat May 30 19:28:15 BRT 2015;90;
topfunky;gruff;open;Michael Mior;Wed Feb 25 16:09:25 BRT 2015;null;197;
topfunky;gruff;open;David C;Wed Feb 18 23:55:20 BRST 2015;null;204;
topfunky;gruff;closed;blueplanet;Tue Oct 07 03:04:33 BRT 2014;Tue Oct 07 03:05:11 BRT 2014;0;
topfunky;gruff;closed;Jonathan;Wed Jul 30 14:23:10 BRT 2014;Tue Jun 16 15:04:58 BRT 2015;321;
topfunky;gruff;open;A.K.M. Ashrafuzzaman;Mon Jun 30 07:11:45 BRT 2014;null;438;
topfunky;gruff;closed;Ryan Stenberg;Fri Jun 27 15:32:59 BRT 2014;Wed Jun 03 04:11:40 BRT 2015;340;
