MILESTONE;QUANTIDADE
2.0.0 RC;1
5.0.22;1
5.0.24;1
5.0.23;1
5.0.21;1
5.0.19;1
5.0.17;1
5.0.16;1
5.0.15;1
5.0.12;1
5.0.11;1
5.0.10;1
5.0.9;1
5.0.8;1
5.0.7;1
5.0.6;1
5.0.5;1
5.0.3;1
5.0.2;1
5.0.1;1
5.0.0 release candidate 2;1
5.0.0 release candidate 1;1
4.0.58;1
5.0.0 beta 3;1
4.0.57;1
4.0.56;1
5.0.0 beta 2;1
4.0.54;1
4.0.52;1
4.0.49;1
4.0.48;1
4.0.46;1
4.0.45;1
5.0.0 beta 1;1
4.0.43;1
4.0.44;1
4.0.41;1
4.0.42;1
0.1.0;1
1.5;1
1.0 Blockers;1
4.0 beta;1
3.1.2;1
3.2.0.rc;1
3.0 final;1
2.2.1;1
2.2;1
2.1 Final;1
2.1 RC;1
2.0.2;1
2.0.1;1
2.0 Final;1
2.0.0.rc5;1
2.0.0.rc4;1
2.0.0.rc3;1
2.0.0.rc2 (Rails 3.1.0.rc2);1
2.0.0.rc1 (Rails 3.1 rc1);1
1.2.4;1
Iteração 0.0.1;1
2.6.5;1
2.6.1;1
3.0.6;1
Version 3;1
2.0.x;1
1.3;1
1.3.3;1
1.2;1
Typus for Rails 4 Gem;1
Typus 3.1.0;1
mechanize 2.1;1
0.5.3;1
1.5.3;1
1.4.5;1
1.4.4;1
1.4.3;1
1.4.2;1
Core 2.0 alpha 1;1
Core 1.4.0;1
Core 1.3.3;1
yaml 2.0.1;1
0.0.1;1
0.0.2;1
2.0.9;1
3.0 release;1
v1.4.0;1
1.2.0;1
1.1.4;1
1.1.2;1
1.1.3;1
1.0.5;1
v1.1.0;1
v1.0.0;1
0.9.3.1;1
0.10;1
0.9.3;1
new-feature;1
0.9.2;1
bug-fix;1
major-change;1
0.9.1;1
blue-sky;1
0.0.3;1
Logging 2.0;1
5.0.0;1
2.1.8;1
2.1.7.1;1
2.1.7;1
2.1.6;1
Community Support;1
2.0.7.3;1
2.0.7.2;1
2.0.7.1;1
3.x;1
Test milestone;1
v.1.5.3;1
community;1
3.0 Release;1
the next awesome release;1
Release 0.21.35;1
Release 0.21.34;1
Release 0.21.33;1
0.21.31;1
Release 0.21.30;1
Release 0.21.29;1
Release 0.21.28;1
Release 0.21.27;1
Release 0.21.26;1
Release 0.21.25;1
wiki-next;1
2.4.5;1
Version 2.3;1
v2.2.0;1
1.4;1
0.4;1
0.3.3;1
2.3.4;1
0.2.10;1
2.5.0;1
Bug Tracker Of My Dreams;1
0.7 Release;1
1.0 Release;1
0.6 Release;1
10.4;1
10.3;1
10.2;1
Maint;1
Rake 10;1
v2.3;1
v2.2;1
Bootstrap;1
v2.1;1
IPv6 phase 2;1
IPv6;1
PSGI;1
1.6.8;1
1.6.7;1
1.6.6;1
1.6.4;1
Witer v1.3;1
Witer v1.4;1
Witer v1.1;1
Witer v1.0;1
Witer v1.2;1
Christmas;1
3.1.0 release;1
Future release - requires rework;1
3.0.1 release;1
3.0.0 release;1
1.7.1;1
1.8;1
1.7;1
Git Homepage Redesign;1
robots.txt improvements;1
v1.3;1
Version 2.0;1
1.1;1
Pkgtools v23;1
Python 3 migration;1
The Future;1
For 4.1.3;1
For 4.1.4;1
Error App Rewrite;1
Release 0.1;1
v1.0.9;1
v1.2.0;1
v1.0.8;1
v1.0.6;1
v1.0.5;1
EventMachine 1.0;1
2.5;1
2.4;1
