Indice;User;Repository;IssuesAbertos;IssuesFechados;IssuesBugAbertos;IssuesBugFechados;Followers ;Following ;Forks;Watchers;Kilobytes;MB;NIssues;RangeIssue;IssuesMB
609;TwP;bones;7;38;0;0;165;8;22;110;773;0,75;45;Contem Issue;59,61190168
610;osteele;jquery-profile;1;2;0;0;235;0;8;35;353;0,34;3;Não Contem Issue;8,702549575
611;Singletoned;wiseguy;1;0;0;0;16;6;2;1;1470;1,44;1;Não Contem Issue;0,696598639
612;bert;libdxf;8;18;5;4;14;28;6;19;8654;8,45;26;Contem Issue;3,076496418
613;jvoorhis;lucene_query;1;0;0;0;65;13;6;13;92;0,09;1;Não Contem Issue;11,13043478
614;collectiveidea;migration_test_helper;7;0;0;0;0;0;5;4;115;0,11;7;Contem Issue;62,33043478
615;mheath;adbcj;1;2;0;0;17;0;21;95;1577;1,54;3;Não Contem Issue;1,948002536
616;jamtur01;puppet_old;0;3;0;0;484;11;3;22;20440;19,96;3;Não Contem Issue;0,150293542
617;mislav;hanna;20;12;1;3;1673;20;31;229;850;0,83;32;Contem Issue;38,55058824
618;jmhodges;rfeedparser;1;1;0;0;242;33;13;59;985;0,96;2;Não Contem Issue;2,079187817
619;infused;dbf;5;63;0;2;12;4;49;144;1495;1,46;68;Contem Issue;46,57658863
620;mallipeddi;django-pipes;3;0;0;0;48;19;6;52;538;0,53;3;Não Contem Issue;5,710037175
621;robmckinnon;twfynz;0;1;0;0;69;32;4;7;2209;2,16;1;Não Contem Issue;0,463558171
622;joshuamiller;flotilla;1;0;0;0;20;0;10;63;128;0,13;1;Não Contem Issue;8
623;jrray;gotefarm;1;0;0;0;0;0;0;2;660;0,64;1;Não Contem Issue;1,551515152
624;TekNoLogic;controlfreak;0;3;0;0;0;0;0;9;332;0,32;3;Não Contem Issue;9,253012048
625;jmhodges;rchardet;4;23;0;0;242;33;54;105;2354;2,3;27;Contem Issue;11,7451147
626;jgm;peg-markdown;13;21;0;0;742;0;114;446;558;0,54;34;Contem Issue;62,39426523
627;djwonk;method_trails;2;0;0;0;12;11;1;6;174;0,17;2;Não Contem Issue;11,77011494
628;KirinDave;fuzed;3;0;0;0;268;8;20;274;1406;1,37;3;Não Contem Issue;2,184921764
629;santana;activerecord-informix-adapter;5;0;0;0;7;0;6;8;129;0,13;5;Não Contem Issue;39,68992248
630;topfunky;google-checkout;0;7;0;0;1081;199;20;64;299;0,29;7;Contem Issue;23,97324415
631;urubatan;gedit_formatter;1;0;0;0;104;3;1;16;80;0,08;1;Não Contem Issue;12,8
632;tjackiw;acts_as_solr;1;0;0;0;19;1;64;104;8623;8,42;1;Não Contem Issue;0,118752174
633;jqr;has_one_autocreate;1;0;0;0;106;73;5;11;96;0,09;1;Não Contem Issue;10,66666667
634;mislav;shrubbery;0;1;0;0;1673;20;0;11;136;0,13;1;Não Contem Issue;7,529411765
635;jsmecham;CalendarView;9;0;0;0;32;15;25;57;123;0,12;9;Contem Issue;74,92682927
636;swdyh;autopagerize;4;8;0;0;177;57;16;104;330;0,32;12;Contem Issue;37,23636364
637;pehlert;ruby-tilecache;4;0;0;0;3;3;4;9;148;0,14;4;Não Contem Issue;27,67567568
638;georgious;cakephp-yaml-migrations-and-fixtures;0;2;0;0;9;2;6;36;152;0,15;2;Não Contem Issue;13,47368421
639;arya;simple_nav;2;0;0;0;106;14;2;15;96;0,09;2;Não Contem Issue;21,33333333
640;dokai;hexagonit-swfheader;2;1;0;0;13;1;3;3;114;0,11;3;Não Contem Issue;26,94736842
641;brennandunn;configurator;3;1;0;0;51;7;5;20;189;0,18;4;Não Contem Issue;21,67195767
642;spoike;doodle;1;0;0;0;112;23;1;3;400;0,39;1;Não Contem Issue;2,56
643;rsim;oracle-enhanced;52;657;0;0;107;0;213;405;6884;6,72;709;Contem Issue;105,464265
644;dbgrandi;ruby-aws;1;1;0;0;45;16;7;13;160;0,16;2;Não Contem Issue;12,8
645;jcoglan;svn2git;0;1;0;0;796;67;276;54;106;0,1;1;Não Contem Issue;9,660377358
646;purcell;darcs-to-git;2;20;0;0;842;26;20;71;244;0,24;22;Contem Issue;92,32786885
647;purcell;airspeed;3;18;0;0;842;26;15;13;478;0,47;21;Contem Issue;44,9874477
648;arunthampi;activecouch;4;0;0;0;73;19;9;109;777;0,76;4;Não Contem Issue;5,271557272
649;Industrial;linux-configfiles;1;0;0;0;36;45;1;0;771;0,75;1;Não Contem Issue;1,328145266
650;dbr;tvdb_api;7;43;0;0;94;39;49;224;996;0,97;50;Contem Issue;51,40562249
651;jkk;goleague;1;0;0;0;63;7;2;4;117;0,11;1;Não Contem Issue;8,752136752
652;cardmagic;classifier;15;9;0;0;138;9;117;526;236;0,23;24;Contem Issue;104,1355932
653;carlism;varanidae;1;0;0;0;29;38;0;2;4845;4,73;1;Não Contem Issue;0,211351909
654;mysmallidea;radiant-comments;0;7;0;0;15;13;41;43;810;0,79;7;Contem Issue;8,849382716
655;pdeffendol;spatial_adapter;15;24;1;5;6;0;105;214;648;0,63;39;Contem Issue;61,62962963
656;telmich;gpm;4;2;0;0;27;14;4;9;3407;3,33;6;Contem Issue;1,803346052
657;caius;php-faker;2;0;0;0;125;135;19;47;148;0,14;2;Não Contem Issue;13,83783784
658;kr;beanstalk-client-ruby;1;22;0;0;624;22;22;70;288;0,28;23;Contem Issue;81,77777778
659;cainlevy;semantic-attributes;0;3;0;0;55;0;8;23;394;0,38;3;Não Contem Issue;7,796954315
660;wycats;textmate;9;7;0;0;6559;3;20;163;198;0,19;16;Contem Issue;82,74747475
661;lawrencepit;exception_logger;1;0;0;0;12;6;1;2;110;0,11;1;Não Contem Issue;9,309090909
662;tslocum;kumo;0;3;0;0;14;2;6;9;323;0,32;3;Não Contem Issue;9,510835913
663;jarib;celerity;17;46;0;0;179;103;40;218;64917;63,4;63;Contem Issue;0,993761264
664;ccdevnet;openc2e;2;0;0;0;4;0;10;21;9945;9,71;2;Não Contem Issue;0,205932629
